x,y,z,radius
1.089400726333394260e+02,1.721654836299986755e+02,6.807117605151177031e+02,2.076810
1.090042643145383892e+02,1.721970178796512130e+02,6.800901612613959060e+02,2.077727
1.091517283351563634e+02,1.721926192844361765e+02,6.794818070462276864e+02,2.092609
1.093249934836334347e+02,1.721588299378473437e+02,6.788815598698994336e+02,2.110352
1.094953314297119675e+02,1.720855985891619468e+02,6.782828946730772941e+02,2.145125
1.096170212257062531e+02,1.719970000019945076e+02,6.776757538511715211e+02,2.206021
1.096840112523263429e+02,1.718975103054364979e+02,6.770626191141767549e+02,2.306328
1.096577142609400397e+02,1.718345886241454252e+02,6.764408383630103572e+02,2.336234
1.095876052193551260e+02,1.717820655823817049e+02,6.758203953743335433e+02,2.185404
1.094927989336420637e+02,1.717278958822681147e+02,6.752034914523680982e+02,2.004861
1.093781073356601183e+02,1.717372426232334703e+02,6.745876880762310748e+02,1.879943
1.092789731340137109e+02,1.717609010362881747e+02,6.739704532811786066e+02,1.837600
1.092138972595734145e+02,1.718025083310747050e+02,6.733483670445181133e+02,1.888090
1.091465323212122769e+02,1.718846089708717670e+02,6.727309185411588714e+02,1.997441
1.091084209632256119e+02,1.719525678367486989e+02,6.721105234645305018e+02,2.095699
1.090884101772834356e+02,1.719782277683802363e+02,6.714851052954174975e+02,2.118330
1.090675502667667018e+02,1.719604118589562063e+02,6.708597697699001401e+02,2.218723
1.090412814640114050e+02,1.718939977918117279e+02,6.702383487198085277e+02,2.410020
1.089820281968017213e+02,1.717759526588034191e+02,6.696292321816937374e+02,2.632993
1.089061760176294769e+02,1.716228160289243476e+02,6.690261176811469568e+02,2.814790
1.088270851176966829e+02,1.714514072270310976e+02,6.684287929369414769e+02,2.854801
1.087557974099138391e+02,1.712772638639168576e+02,6.678372842199693196e+02,2.742407
1.086325820754971971e+02,1.712453791578595030e+02,6.672266053425609016e+02,2.699235
1.085973633870019484e+02,1.711989901870784934e+02,6.666026231557764277e+02,2.631731
1.085623297411034685e+02,1.712122516574104623e+02,6.659778419631464885e+02,2.504657
1.085430253770175710e+02,1.712229534513899125e+02,6.653517095192269153e+02,2.207111
1.084900734634647534e+02,1.712647949619293399e+02,6.647283024662499429e+02,1.820384
1.084216389856665046e+02,1.712908203902554192e+02,6.641059041575755373e+02,1.751914
1.083349328078532636e+02,1.713074695566718901e+02,6.634863227512927324e+02,1.763634
1.082201823793999722e+02,1.713120295799223243e+02,6.628725747471874001e+02,1.842131
1.081030814413036580e+02,1.712986533054740050e+02,6.622570532386118884e+02,1.957413
1.080089276038521859e+02,1.712710642714997107e+02,6.616377536986158248e+02,2.032301
1.079113970008284866e+02,1.712466066215582430e+02,6.610190377578896914e+02,2.017476
1.078185559890277432e+02,1.712345975933280329e+02,6.603994545216698953e+02,1.904609
1.077396735430392880e+02,1.712213191751222041e+02,6.597778107180027973e+02,1.831279
1.076665918714865313e+02,1.712099000030197544e+02,6.591553996012943344e+02,1.754034
1.076294056239771209e+02,1.711502233132985964e+02,6.585332120065161234e+02,1.652045
1.075668070832169860e+02,1.711250138543770447e+02,6.579112009409200255e+02,1.622688
1.075262612289143078e+02,1.710673798196321513e+02,6.572899334768554809e+02,1.722615
1.074754153392334928e+02,1.709997914744509444e+02,6.566698678310270907e+02,1.806195
1.073900450669484599e+02,1.709699805114871936e+02,6.560504717918289543e+02,1.840507
1.073057254433808083e+02,1.709075777989333460e+02,6.554327321700752691e+02,1.853668
1.071935601104944453e+02,1.708710110382908738e+02,6.548171407017557613e+02,1.862106
1.070697279694663422e+02,1.708533446922880046e+02,6.542030144227672963e+02,1.902017
1.069350710665384696e+02,1.708409869972778949e+02,6.535909968477453731e+02,1.969495
1.068106657120035550e+02,1.708314212524518325e+02,6.529768404876468821e+02,2.124385
1.066950704963619785e+02,1.708173316371081967e+02,6.523608533213620149e+02,2.414289
1.066037423324881814e+02,1.708077477902695591e+02,6.517408157270152742e+02,2.529730
1.065359537363455473e+02,1.707765645279886826e+02,6.511182338690377946e+02,2.547408
1.064980198236394529e+02,1.707345679270984533e+02,6.504937835088004476e+02,2.574857
1.064906093218581447e+02,1.706854148595319600e+02,6.498691035728240877e+02,2.644353
1.064887640986817985e+02,1.706317891209006916e+02,6.492448514482626933e+02,2.705487
1.064582380671803321e+02,1.705734792757589560e+02,6.486223580257606045e+02,2.698251
1.064027588521798293e+02,1.705034485083574509e+02,6.480023246858821722e+02,2.632738
1.063142348322427040e+02,1.704259363935545650e+02,6.473868229307283855e+02,2.531707
1.062099908341578072e+02,1.703553369984604728e+02,6.467729958180094627e+02,2.400167
1.061506801082850870e+02,1.703244360674592315e+02,6.461497952875175770e+02,2.265541
1.060738133071538272e+02,1.702779793288380858e+02,6.455296687821293062e+02,2.153704
1.059749140807537628e+02,1.702117486696467950e+02,6.449143821256684532e+02,2.072634
1.058877285116982137e+02,1.701378337199479347e+02,6.442984883084455987e+02,2.019361
1.057882990305516131e+02,1.700254013637516266e+02,6.436916608018404986e+02,1.960089
1.057215960945590041e+02,1.698956159943544719e+02,6.430834403029290343e+02,1.866734
1.056672344856437888e+02,1.697546106415374823e+02,6.424752507909817041e+02,1.759831
1.055961841219387480e+02,1.696026093387137337e+02,6.418717291355209227e+02,1.664380
1.054855658462968080e+02,1.694503630342922520e+02,6.412736892260581953e+02,1.585395
1.053877101623468633e+02,1.693743572733116025e+02,6.406595484023530389e+02,1.537315
1.053041303519720913e+02,1.693214054424395272e+02,6.400404818821835988e+02,1.517663
1.052316139323527153e+02,1.692458187122553568e+02,6.394224604392475158e+02,1.508224
1.051613042449567814e+02,1.691545701487011399e+02,6.388066223701018771e+02,1.531233
1.050861082914022830e+02,1.690822172014818818e+02,6.381886551149411844e+02,1.594716
1.050244538312326483e+02,1.690427895684329940e+02,6.375662644383311317e+02,1.661384
1.049550692518577364e+02,1.690006446765805777e+02,6.369448059115976548e+02,1.661034
1.048909363756197735e+02,1.689901477212599161e+02,6.363214367104660596e+02,1.698326
1.048289149923366352e+02,1.690051734058170325e+02,6.356981855143282019e+02,1.793550
1.047617119827050658e+02,1.690421673152883955e+02,6.350761174136690670e+02,1.911313
1.046949197067998938e+02,1.690973753558638464e+02,6.344554452480170994e+02,1.987832
1.046297764657319931e+02,1.691831311730886398e+02,6.338381016615134058e+02,2.054390
1.045740329371062387e+02,1.693064237794735334e+02,6.332268906344203288e+02,2.159463
1.045334287670511770e+02,1.694457351377362215e+02,6.326184983547958609e+02,2.302635
1.045000776264116098e+02,1.695440715046135267e+02,6.320008405842010006e+02,2.418064
1.044576294083657189e+02,1.696452514649404861e+02,6.313852691396435830e+02,2.499469
1.044104056346368168e+02,1.697362767607040723e+02,6.307672184725870466e+02,2.541977
1.043509298851839731e+02,1.698351527705590911e+02,6.301513263210114246e+02,2.555267
1.042807343272131106e+02,1.698962089925827570e+02,6.295317364565183880e+02,2.561735
1.042044640640025079e+02,1.699308137459204318e+02,6.289113896439740756e+02,2.568741
1.041068116607129923e+02,1.699594728010322626e+02,6.282928728596405108e+02,2.568740
1.040013398587447426e+02,1.700046009086438801e+02,6.276766602475138370e+02,2.569525
1.038886813580721054e+02,1.700481109016026551e+02,6.270616643766802554e+02,2.593316
1.037760339125658930e+02,1.700829558530201382e+02,6.264462336058370511e+02,2.647117
1.036602183977020673e+02,1.701588197239833846e+02,6.258353926993293044e+02,2.702109
1.035509546128611476e+02,1.702454170060850345e+02,6.252242010656494813e+02,2.755904
1.034515579582715361e+02,1.703419933435934297e+02,6.246129810058214389e+02,2.780364
1.033786644739853955e+02,1.704407427832751978e+02,6.240007649206464748e+02,2.759652
1.033580074643289066e+02,1.704910694816227306e+02,6.233768319592976468e+02,2.701021
1.033536718555007496e+02,1.705422694213415582e+02,6.227523862085909059e+02,2.613769
1.033523992482427900e+02,1.705913452115318876e+02,6.221279410006909529e+02,2.515287
1.033306339571086454e+02,1.706491199917632855e+02,6.215040243631738122e+02,2.404588
1.032623046257086088e+02,1.707249379247577963e+02,6.208865150811070635e+02,2.218339
1.031917236724594602e+02,1.708269137535729385e+02,6.202718937428796835e+02,1.875878
1.031056584444501851e+02,1.709366704074815289e+02,6.196620694243244998e+02,1.756412
1.030213976165829735e+02,1.710639059774976829e+02,6.190545547178529660e+02,1.784112
1.029207242781396161e+02,1.711921658792431629e+02,6.184512677224360004e+02,1.895056
1.027976007573249149e+02,1.713201764792366646e+02,6.178506643936707405e+02,2.018623
1.026675836310737111e+02,1.714364089313931174e+02,6.172486019735862328e+02,2.046366
1.025228216156135375e+02,1.715636513221093651e+02,6.166520881613812435e+02,1.968362
1.023951017287755008e+02,1.716928070284099590e+02,6.160521961420313346e+02,1.838597
1.023181384611075231e+02,1.718105071406541811e+02,6.154413653611651398e+02,1.744695
1.022414999819959149e+02,1.719438446766629625e+02,6.148335472097854790e+02,1.712439
1.021571240583764677e+02,1.720960314816082928e+02,6.142314590164722858e+02,1.731940
1.020911944135326053e+02,1.722460951777952971e+02,6.136267529633844333e+02,1.724736
1.020367241108015435e+02,1.723870770449112797e+02,6.130187695812427364e+02,1.679082
1.020568629712686146e+02,1.724106963347257704e+02,6.123936511815585391e+02,1.638531
1.020660308320580469e+02,1.724185040350024281e+02,6.117681907589833372e+02,1.560516
1.020578366673147315e+02,1.724246592000480689e+02,6.111419938591773189e+02,1.342233
1.020200438188775109e+02,1.724640936409820426e+02,6.105186841748092093e+02,1.077092
1.019805247430843309e+02,1.725489517361606602e+02,6.098994136708714677e+02,1.012125
1.019519976272221840e+02,1.726491387416834584e+02,6.092818128717354966e+02,1.067649
1.019095516169872013e+02,1.727798709226973131e+02,6.086702811892823775e+02,1.194634
1.018466312377030221e+02,1.729252192585247769e+02,6.080638832080578595e+02,1.312150
1.018436218235043498e+02,1.730903549148414129e+02,6.074600738691713104e+02,1.346688
1.018375400141635936e+02,1.732620806559185667e+02,6.068578302161378133e+02,1.356392
1.017828081812345857e+02,1.734167038617376591e+02,6.062534560774568035e+02,1.429847
1.017157767771765151e+02,1.735469219462847548e+02,6.056448561470543837e+02,1.564422
1.016830107899662323e+02,1.736749054446190144e+02,6.050328989344084221e+02,1.746433
1.016634478735914087e+02,1.737924196720525174e+02,6.044179446877378723e+02,1.953613
1.016309875718996096e+02,1.738979723365486620e+02,6.038009162854054921e+02,2.140803
1.015907492173350448e+02,1.739987288705590061e+02,6.031836062805848542e+02,2.294961
1.015603535543407361e+02,1.741089493084785431e+02,6.025686967690546680e+02,2.442810
1.015323653141083327e+02,1.742165860718273791e+02,6.019533286655016582e+02,2.555587
1.014636501687086820e+02,1.743409580455318348e+02,6.013441498850330618e+02,2.622476
1.013618757215862445e+02,1.744816326054610442e+02,6.007425251812219358e+02,2.607419
1.012276382726140440e+02,1.746396648977646180e+02,6.001512121823149073e+02,2.430520
1.010910653477271808e+02,1.748226647025888099e+02,5.995678938177578630e+02,2.021848
1.009511183757481376e+02,1.750366029650017481e+02,5.989957119471305305e+02,1.813629
1.008149166885426098e+02,1.752596947331922479e+02,5.984263712755504230e+02,1.744548
1.006775007090096636e+02,1.754734581611117790e+02,5.978541776588357379e+02,1.690400
1.005520318343542527e+02,1.756721943793184266e+02,5.972736673868546404e+02,1.693607
1.004452544970206702e+02,1.758653718126263641e+02,5.966875065871643073e+02,1.763776
1.003747277175639425e+02,1.760547043824505238e+02,5.960945494141581094e+02,1.802355
1.003535367647388910e+02,1.762277975846105278e+02,5.954935108896911515e+02,1.749103
1.003911824890846418e+02,1.763675241876176187e+02,5.948846263657262625e+02,1.676584
1.004496429351145679e+02,1.765070018524315856e+02,5.942773223786929293e+02,1.608062
1.005260420039691667e+02,1.766489374944472104e+02,5.936723269629172819e+02,1.652913
1.006101966910062231e+02,1.768172970485395581e+02,5.930751257303253396e+02,1.684775
1.006934309107243735e+02,1.769984697148706516e+02,5.924816532855304558e+02,1.681331
1.007268709241837854e+02,1.771915880342664593e+02,5.918875299289745726e+02,1.695725
1.006885955286282837e+02,1.773796632340133499e+02,5.912909681367179928e+02,1.748041
1.006805957388205854e+02,1.775587658933345949e+02,5.906904695472579760e+02,1.789937
1.006814467547796426e+02,1.777508074037672259e+02,5.900937530103254858e+02,1.816037
1.006623215019989459e+02,1.779419818178726302e+02,5.894969242247340162e+02,1.793856
1.006281407263703187e+02,1.781368722169827663e+02,5.889024135692092159e+02,1.658284
1.006463007917161150e+02,1.783540704674014705e+02,5.883166607256821408e+02,1.575308
1.006371657236798569e+02,1.786527851093476897e+02,5.877665170196551117e+02,1.636305
1.006327553217462452e+02,1.789550293305481148e+02,5.872198798730754561e+02,1.785043
1.006051115481369180e+02,1.792581172286370190e+02,5.866724573613395251e+02,1.939641
1.005773700296227702e+02,1.795459464864096617e+02,5.861175896083567523e+02,2.053903
1.005014199456018247e+02,1.798205920691634105e+02,5.855600169826227557e+02,2.126209
1.003994429299019089e+02,1.800604818925621373e+02,5.849922406736280891e+02,2.172361
1.002823507486406385e+02,1.802714522500553187e+02,5.844144085774331643e+02,2.243065
1.001921145761336760e+02,1.804546625811805995e+02,5.838216571045809360e+02,2.251926
1.001287287208483008e+02,1.806337410981142284e+02,5.832244389988391049e+02,2.213041
1.000734807495430374e+02,1.808250351132867877e+02,5.826301023812586664e+02,2.139919
1.000543317662896783e+02,1.810228441705440332e+02,5.820354042239302998e+02,2.049200
1.000592461695346742e+02,1.812239236140915750e+02,5.814417324053116545e+02,1.985231
1.000994999303641464e+02,1.814314430491386645e+02,5.808526364655906491e+02,1.930614
1.001021276909091711e+02,1.816572299166895448e+02,5.802682094614405059e+02,1.855248
1.001759800899061190e+02,1.818697088660208578e+02,5.796835378869541273e+02,1.680719
1.002254369083278931e+02,1.820933627894896460e+02,5.791000532215675776e+02,1.451794
1.002413821559380267e+02,1.823080952786320950e+02,5.785116950628734003e+02,1.479697
1.001807069008812476e+02,1.824640394446464597e+02,5.779077420631723498e+02,1.706367
1.001004597508549097e+02,1.825853537340060484e+02,5.772980144452294553e+02,2.016434
1.000585182070314119e+02,1.827397473996359736e+02,5.766926494453432497e+02,2.270642
1.000501734699114422e+02,1.829173660670388983e+02,5.760923221955350755e+02,2.622800
1.000677556302103000e+02,1.831252054786907877e+02,5.755012241897608192e+02,2.697810
1.001181290706903297e+02,1.833707378178396254e+02,5.749269134545153292e+02,2.580951
1.001750584957408279e+02,1.836305292033740955e+02,5.743593421902149885e+02,2.368807
1.002580474711044474e+02,1.839046999090124928e+02,5.738019189454756770e+02,2.188846
1.003578831079245219e+02,1.842006435792419836e+02,5.732582849792098614e+02,2.069748
1.004503666256226353e+02,1.844930192829965279e+02,5.727114705134971473e+02,1.921467
1.005517427784882187e+02,1.847374796001111577e+02,5.721434120767950162e+02,1.805208
1.006278900637354070e+02,1.849828471103424761e+02,5.715730436161093166e+02,1.704850
1.006362142635003636e+02,1.851760113804985508e+02,5.709778507934843219e+02,1.697201
1.005822593267803597e+02,1.854051566112631235e+02,5.703968613564672978e+02,1.754892
1.005221978079759992e+02,1.855714680113606789e+02,5.697974366373887278e+02,1.820178
1.004501247426802735e+02,1.858030508454279186e+02,5.692212455965882327e+02,1.807943
1.003772643237197428e+02,1.859695385621878927e+02,5.686215148437336211e+02,1.769927
1.003055404038639438e+02,1.861480560252438750e+02,5.680250686570627749e+02,1.716715
1.002421593849854560e+02,1.863706314710451579e+02,5.674430918925573906e+02,1.661050
1.001946242926346713e+02,1.866250620759859657e+02,5.668742793380015428e+02,1.585835
1.001633071964476045e+02,1.869048708251165181e+02,5.663181001848423648e+02,1.490669
1.001824858084942491e+02,1.872448483840765618e+02,5.657921942932700858e+02,1.366085
1.002032047144270877e+02,1.875818477775298447e+02,5.652646532635445737e+02,1.397016
1.002055700846075439e+02,1.878963463538993892e+02,5.647231241274125750e+02,1.629341
1.001719320398537434e+02,1.882123271276977334e+02,5.641833519204919867e+02,1.909870
1.001322758470910372e+02,1.885240394573899323e+02,5.636410988236699495e+02,2.071508
1.000967930732897599e+02,1.887918790393746349e+02,5.630755219263224944e+02,2.081233
1.000920785298261819e+02,1.890381285823678468e+02,5.624993683302581076e+02,2.062300
1.000810822436939560e+02,1.892535223857085782e+02,5.619108821879523248e+02,2.054807
1.000973052179146947e+02,1.894669377170525593e+02,5.613215027587710892e+02,1.924364
1.000669990164328453e+02,1.896836538537661454e+02,5.607356203930792162e+02,1.635401
1.000230654758817792e+02,1.898892715626258791e+02,5.601496908088216742e+02,1.454840
9.998436778031657468e+01,1.900499069858783798e+02,5.595480406163670750e+02,1.383639
9.991878081336383843e+01,1.902202162580426545e+02,5.589483048561971827e+02,1.443495
9.987492853742382692e+01,1.904033260414364008e+02,5.583512185555900942e+02,1.535706
9.984850606008737373e+01,1.905933934059670207e+02,5.577552311681272386e+02,1.631851
9.982173307225822612e+01,1.907442931198942802e+02,5.571483112836150440e+02,1.768819
9.982985786800242067e+01,1.908802374807362980e+02,5.565393160637362371e+02,1.964811
9.986056320248717100e+01,1.910047094704204369e+02,5.559274351818260129e+02,2.154101
9.985937231018884574e+01,1.910982328543725828e+02,5.553084230086692514e+02,2.113137
9.984382839158867284e+01,1.911931250953657297e+02,5.546894598012754614e+02,1.998200
9.976850844933225915e+01,1.912908682048413311e+02,5.540754331400931960e+02,1.915275
9.970793480727499514e+01,1.914135009885594627e+02,5.534648348904321438e+02,1.855645
9.964875716038669395e+01,1.915616216591039915e+02,5.528624411552576703e+02,1.790452
9.963463016167611386e+01,1.917391378108843298e+02,5.522650463497692499e+02,1.657138
9.961466443019691042e+01,1.919016093355084251e+02,5.516628521566955214e+02,1.557272
9.956643623716658453e+01,1.920479117670353162e+02,5.510586210594364047e+02,1.536817
9.953335346336091050e+01,1.921470269821408863e+02,5.504407871326332042e+02,1.627580
9.950899968686476882e+01,1.922651253952536763e+02,5.498260984383482537e+02,1.811111
9.946733183509515186e+01,1.923520596179172060e+02,5.492091860767761773e+02,1.963746
9.940546010857774206e+01,1.924064968533849367e+02,5.485898008819050347e+02,2.018010
9.944777265210572637e+01,1.925450222656039898e+02,5.479864264589011782e+02,1.875605
9.951505704873234492e+01,1.926835929695527057e+02,5.473819165001762030e+02,1.636721
9.958093832867811557e+01,1.928320618144874175e+02,5.467802014688143117e+02,1.434574
9.961688539176779500e+01,1.930162844414090557e+02,5.461827186922556621e+02,1.319579
9.962295284214634705e+01,1.931962417836037957e+02,5.455851880663115026e+02,1.263422
9.960244522042002302e+01,1.934152102307002110e+02,5.450002694451579828e+02,1.237922
9.956369639257576409e+01,1.936495455143987670e+02,5.444232295031324611e+02,1.240835
9.948670393242612420e+01,1.938690398627559546e+02,5.438422955649024289e+02,1.247335
9.935362602728362447e+01,1.941031961014602985e+02,5.432793577260923712e+02,1.266828
9.918094562539241110e+01,1.943355530206765707e+02,5.427279565706094218e+02,1.277810
9.907507687880782044e+01,1.944921047631071076e+02,5.421378802103139378e+02,1.233068
9.897524427514665035e+01,1.946542078034427448e+02,5.415453294864910276e+02,1.153449
9.887125002540943797e+01,1.947752152499122928e+02,5.409438060552163279e+02,1.111570
9.879396537988004923e+01,1.948490008840871894e+02,5.403279054621848445e+02,1.149476
9.870723730344012381e+01,1.948884139755050171e+02,5.397119227790323066e+02,1.254367
9.862852438747989936e+01,1.949189062966476911e+02,5.390924581820116828e+02,1.420926
9.857357602917322481e+01,1.948623015474343276e+02,5.384705219147567732e+02,1.735792
9.851421545021119641e+01,1.949526028776736268e+02,5.378598889411942992e+02,1.908547
9.845801416366893477e+01,1.950597902595467019e+02,5.372521289307076131e+02,1.925574
9.836914847808667162e+01,1.953096301821627492e+02,5.366852747956494341e+02,1.903286
9.825986871972888537e+01,1.955689226804894361e+02,5.361262582798992753e+02,1.836923
9.816476909057672628e+01,1.958793091508453017e+02,5.355913413756701402e+02,1.781433
9.806385394838338243e+01,1.961519400254795755e+02,5.350366267494077874e+02,1.737015
9.797999008043167635e+01,1.963938751299662044e+02,5.344653943009625436e+02,1.683411
9.785000795734143253e+01,1.965907124824319112e+02,5.338853262393874957e+02,1.629688
9.772698312736537218e+01,1.967656852438492479e+02,5.332963959826594191e+02,1.570851
9.761804393509335398e+01,1.969066189080223523e+02,5.326969081221220677e+02,1.482429
9.758901749076436261e+01,1.969857399842846348e+02,5.320766790413340459e+02,1.409253
9.753473776931615191e+01,1.970583211998915942e+02,5.314604854103191656e+02,1.343218
9.751761969806547370e+01,1.970793397226784123e+02,5.308365057871815225e+02,1.292852
9.755825306718504919e+01,1.970754931449527021e+02,5.302114470650575413e+02,1.309091
9.761618728341117901e+01,1.971110124914206949e+02,5.295888882322949485e+02,1.445150
9.764547843384946191e+01,1.971679872341740349e+02,5.289657691499603516e+02,1.659950
9.770012135107161555e+01,1.972333262294544056e+02,5.283465058823143181e+02,1.869275
9.771403528051415321e+01,1.972915404313657746e+02,5.277240716077268416e+02,1.992414
9.770068841518272507e+01,1.973164240962495342e+02,5.270986021242022161e+02,1.982010
9.767939774133219544e+01,1.972986856964766105e+02,5.264729251816396527e+02,1.933915
9.771536042466682659e+01,1.973178524162763665e+02,5.258483896644171409e+02,1.850819
9.776627534433495725e+01,1.973588646842412970e+02,5.252258676619786684e+02,1.760580
9.782641270448516480e+01,1.974270901974392984e+02,5.246065238088282285e+02,1.729976
9.790487760362805147e+01,1.975110246521276167e+02,5.239922508930350205e+02,1.751930
9.801023966507818841e+01,1.975745340681592381e+02,5.233779028085159553e+02,1.780281
9.809007670091853015e+01,1.976711996940312019e+02,5.227641617622707599e+02,1.808810
9.817083859381902755e+01,1.977097781635698084e+02,5.221440424208237800e+02,1.807397
9.822211053404480197e+01,1.976906844844912428e+02,5.215205187183789803e+02,1.788514
9.819461728066147543e+01,1.976391797795349419e+02,5.208977518604177703e+02,1.738581
9.811069518566444003e+01,1.975747456639855386e+02,5.202810231138222434e+02,1.657546
9.803842752900440871e+01,1.975089223387252844e+02,5.196626686241853577e+02,1.572429
9.800625896020672201e+01,1.974453270511560277e+02,5.190409863896944671e+02,1.476709
9.801040284389809187e+01,1.973786011429787663e+02,5.184188543023516331e+02,1.423187
9.805437024379419597e+01,1.973419944567174582e+02,5.177964014883921209e+02,1.462431
9.812602147772172145e+01,1.972910458867290799e+02,5.171799793905037177e+02,1.575487
9.822509534346308158e+01,1.971775364430371837e+02,5.165728741272613433e+02,1.718304
9.825597997837027719e+01,1.970719047062929121e+02,5.159605926862667502e+02,1.833882
9.817895956364452559e+01,1.970211014344469049e+02,5.153431607028425105e+02,1.699149
9.804966005556222797e+01,1.969634643325212267e+02,5.147351805827726139e+02,1.447119
9.789155238475471776e+01,1.969860530287019742e+02,5.141327827761625713e+02,1.266562
9.774192514894981798e+01,1.969937554765729715e+02,5.135284722027128055e+02,1.195706
9.760119081489496295e+01,1.970062297436192011e+02,5.129199356676126627e+02,1.164332
9.750185920954012886e+01,1.969901056334377927e+02,5.123025166529333774e+02,1.137340
9.744066901189032137e+01,1.969507710322603771e+02,5.116802579824951067e+02,1.160222
9.739940598582118980e+01,1.968935118136184315e+02,5.110609473415318575e+02,1.238865
9.737929600977918199e+01,1.968060598730213826e+02,5.104437746151248234e+02,1.345041
9.735578606060006734e+01,1.967040561054209320e+02,5.098266989441183910e+02,1.424804
9.733293084406346907e+01,1.965861914764639096e+02,5.092113838175545197e+02,1.461493
9.730680556270772286e+01,1.964676717345913914e+02,5.085971952531938882e+02,1.478552
9.727206433850409439e+01,1.963367705190233892e+02,5.079861084255144874e+02,1.487836
9.720022079136086290e+01,1.961886458069365347e+02,5.073828167852311140e+02,1.484084
9.713797177451795051e+01,1.960191523228368169e+02,5.067838287135995188e+02,1.474029
